"filename","title","description","type"
"./metadata.md","","Adobe Commerce Operational Guides","Documentation"
"./help/release/TOC.md","","",""
"help/release/release-notes/overview.md","Adobe Commerce release notes","Learn where to find information for specific Adobe Commerce releases.",""
"help/release/backward-incompatible-changes.md","Backward-incompatible changes","Learn about breaking changes that may require updates to your custom code or extension.",""
"help/release/release-notes/commerce/overview.md","Adobe Commerce release notes","Review Adobe Commerce release notes.",""
"help/release/release-notes/commerce/2-4-9.md","Adobe Commerce 2.4.9-alpha release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.9-alpha Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-8.md","Adobe Commerce 2.4.8 release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.8 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-7.md","Adobe Commerce 2.4.7 release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.7 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-6.md","Adobe Commerce 2.4.6 release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.6 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-5.md","Adobe Commerce 2.4.5 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.5 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-4.md","Adobe Commerce 2.4.4 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.4 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-3.md","Adobe Commerce 2.4.3 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.3 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-2.md","Adobe Commerce 2.4.2 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.2 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-1.md","Adobe Commerce 2.4.1 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.1 Adobe Commerce release.",""
"help/release/release-notes/commerce/2-4-0.md","Adobe Commerce 2.4.0 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.0 Adobe Commerce release.",""
"help/release/release-notes/open-source/overview.md","Magento Open Source release notes","Review release notes for the Magento Open Source codebase.",""
"help/release/release-notes/open-source/2-4-9.md","Magento Open Source 2.4.9-alpha release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.9-alpha Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-8.md","Magento Open Source 2.4.8 release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.8 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-7.md","Magento Open Source 2.4.7 release notes","Learn about new features, enhancements, bug fixes, and known issues in the 2.4.7 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-6.md","Magento Open Source 2.4.6 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.6 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-5.md","Magento Open Source 2.4.5 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.5 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-4.md","Magento Open Source 2.4.4 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.4 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-3.md","Magento Open Source 2.4.3 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.3 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-2.md","Magento Open Source 2.4.2 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.2 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-1.md","Magento Open Source 2.4.1 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.1 Magento Open Source release.",""
"help/release/release-notes/open-source/2-4-0.md","Magento Open Source 2.4.0 release notes","Learn about new features, enhancements, bug fixes and known issues in the 2.4.5 Magento Open Source release.",""
"help/release/release-notes/security/overview.md","Security patch release notes","Review release notes for Adobe Commerce security patches.",""
"help/release/release-notes/security/2-4-8-patches.md","Adobe Commerce 2.4.8 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.7.",""
"help/release/release-notes/security/2-4-7-patches.md","Adobe Commerce 2.4.7 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.7.",""
"help/release/release-notes/security/2-4-6-patches.md","Adobe Commerce 2.4.6 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.6.",""
"help/release/release-notes/security/2-4-5-patches.md","Adobe Commerce 2.4.5 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.5.",""
"help/release/release-notes/security/2-4-4-patches.md","Adobe Commerce 2.4.4 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.4.",""
"help/release/release-notes/security/2-4-3-patches.md","Release Notes for Adobe Commerce 2.4.3 Security Patches","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.3.",""
"help/release/release-notes/security/2-4-2-patches.md","Adobe Commerce 2.4.2 Security Patch Release Notes","Learn about security bug fixes, security enhancements, and other security related updates included in the security patch releases for Adobe Commerce version 2.4.2.",""
"help/release/product-availability.md","Product Availability","Learn about what Adobe Commerce features are currently supported and check their compatibility with specific Adobe Commerce releases.",""
"help/release/beta.md","Beta releases","Learn about the Adobe Commerce beta releases and how to participate.",""
"help/release/lifecycle-policy.md","Software lifecycle policy","Learn about key dates for end of software support for Adobe Commerce releases.",""
"help/release/versioning-policy.md","Release policy","Learn about the different types of Adobe Commerce releases.",""
"help/release/schedule.md","Release schedule","Learn when Adobe plans to announce the release of new features for Adobe Commerce.",""
"help/release/features.md","Product features","Learn what Adobe Commerce features are available by specific release version.",""
"help/release/versions.md","Released versions","Learn when specific versions of Adobe Commerce were released.",""
"help/release/packages/adobe-commerce.md","Adobe Commerce packages","Learn about all dependencies and third-party licenses used in Adobe Commerce.",""
"help/release/packages/magento-open-source.md","Magento Open Source packages","Learn about all dependencies and third-party licenses used in Magento Open Source.",""
